 ا 	 A
 چندانا ترڤمڤن 	 Cendana terpempan
 دي ممجمكن مات 	 Dia memejamkan mata
 چندانا ترسڠيه 	 Cendana tersengih
 سيلت تنڤا نام 	 Silat Tanpa Nama
 نيرنام برهنتي 	 Nirnama berhenti
 نديم جادي چمس 	 Nadim jadi cemas
 دڠن ڤرتولوڠنڽ 	 Dengan pertolongan-Nya
 باڬايكن ترچڠڠ 	 Bagaikan tercengang
 اڤ لاڬي كبياد 	 Apa lagi kebiad
 دي مڠتڤ ڬراهم 	 Dia mengetap geraham
 تروس دي ممچوت 	 Terus dia memecut
 ڤرهيبتكن تقوى 	 Perhebatkan taqwa
 تڬس لاڬي تاجم 	 Tegas lagi tajam
 نيرنام ممبالس 	 Nirnama membalas
 كيت سوده تيبا 	 Kita sudah tiba
 چندانا مڠڠڬوق 	 Cendana mengangguk
 هيدوڠڽ بيڠكوق 	 Hidungnya bengkok
 اديواج مڠڠڬوق 	 Adiwaja mengangguk
 دي چڤت٢ بڠكيت 	 Dia cepat-cepat bangkit
 ككندا سنتوبوڠ 	 Kakanda Santubong
 تياد يڠ لاءين 	 Tiada yang lain
 ڤوترن كهيدوڤن 	 Putaran kehidupan
 دي هاڽ ترسڠيه 	 Dia hanya tersengih
 دوا سوده باڽق 	 Dua sudah banyak
 داكڤن درڠڬڠكن 	 Dakapan direnggangkan
 اديواج مڽمبوت 	 Adiwaja menyambut
 برتنڠ سريكندي 	 Bertenang srikandi
 اكو ڤولا نديم 	 Aku pula Nadim
 نيرنام مڠڠڬوق 	 Nirnama mengangguk
 نيرنام ترسڠيه 	 Nirnama tersengih
 جبت كتاوا بسر 	 Jebat ketawa besar
 اه ككندا توها 	 Ah Kakanda Tuha
 سڽومنڽ مليريت 	 Senyumannya meleret
 اكو هاڽ بركات 	 Aku hanya berkata
 كستوري ترسڠيه 	 Kasturi tersengih
 چندانا مڠڠڬوق 	 Cendana mengangguk
 تليڠاڽ بردسيڠ 	 Telinganya berdesing
 لاونڽ برسوارا 	 Lawannya bersuara
 دي تله برسديا 	 Dia telah bersedia
 ڤندڠنڽ كمبالي 	 Pandangannya kembali
 اديواج ترتاوا 	 Adiwaja tertawa
 مڽلامتكن اومة 	 Menyelamatkan ummah
 بوكن كران نام 	 Bukan kerana nama
 چندانا ترسڽوم 	 Cendana tersenyum
 بيبيرڽ منيڤيس 	 Bibirnya menipis
 ايت اوسها كيت 	 Itu usaha kita
 نيرنام ترسڽوم 	 Nirnama tersenyum
 كيري دان كانن 	 Kiri dan kanan
 ماسڽ تله تيبا 	 Masanya telah tiba
 وعليكم السلام 	 Waalaikumussalam
 نيرنام مڠڠڬوق 	 Nirnama mengangguk
 دڠن كواس الله 	 Dengan kuasa Allah
 دي بوكن مخلوق 	 Dia bukan makhluk
 نيرنام تركاكو 	 Nirnama terkaku
 اديواج مڠڠڬوق 	 Adiwaja mengangguk
 لڠكهنڽ ترهنتي 	 Langkahannya terhenti
 جبت سربا ساله 	 Jebat serba salah
 اديواج مڠڠڬوق 	 Adiwaja mengangguk
 چندانا مڠڠڬوق 	 Cendana mengangguk
 سوسون ڤرانچڠن 	 Susun perancangan
 دي مڠتڤ ڬراهم 	 Dia mengetap geraham
 كمودين برتوبة 	 Kemudian bertaubat
 بنر بوكن ادين 	 Benar bukan adin
 كستوري ترسڽوم 	 Kasturi tersenyum
 نيرنام مڠڠڬوق 	 Nirnama mengangguk
 اديواج مڠڠڬوق 	 Adiwaja mengangguk
 سيلت تنڤا نام 	 Silat Tanpa Nama
 ترسنتق اديواج 	 Tersentak Adiwaja
 اديواج مڠڠڬوق 	 Adiwaja mengangguk
 جادي باڬايمان 	 Jadi bagaimana
 اديواج ترسڠيه 	 Adiwaja tersengih
 چندانا ترتاوا 	 Cendana tertawa
 مناريق مناريق 	 Menarik menarik
 وعليكم السلام 	 Waalaikumussalam
 سياڤا يڠ مڽڠک 	 Siapa yang menyangka
 نيرنام مڠڠڬوق 	 Nirnama mengangguk
 اديواج ترسنتق 	 Adiwaja tersentak
 نيرنام مڠڠڬوق 	 Nirnama mengangguk
 ساج اكو مڽاكت 	 Saja aku menyakat
 اه تق اد اڤله 	 Ah tak ada apalah
 مريک تله تيبا 	 Mereka telah tiba
 چندانا ترسڠيه 	 Cendana tersengih
 نيرنام ممبيسو 	 Nirnama membisu
 مناريق توانكو 	 Menarik tuanku
 نيرنام مموتوڠ 	 Nirnama memotong
 نيرنام مڠڠڬوق 	 Nirnama mengangguk
 چندانا مڠڠڬوق 	 Cendana mengangguk
 مڠحرمتي تتامو 	 Menghormati tetamu
 برسڠک باءيقله 	 Bersangka baiklah
 چندانا مڠڠڬوق 	 Cendana mengangguk
 نيرنام مڠڠڬوق 	 Nirnama mengangguk
 نيرنام مڠڠڬوق 	 Nirnama mengangguk
 كستوري مڠڠڬوق 	 Kasturi mengangguk
 جک دمکين برسي 	 Jika demikian berse
 اڠكاو  يا اكو 	 Engkau  Ya aku
 چندانا مڠڠڬوق 	 Cendana mengangguk
 نيرنام ترسڠيه 	 Nirnama tersengih
 دي تروس برڬرق 	 Dia terus bergerak
 دڠرله سواراكو 	 Dengarlah suaraku
 نيرنام ممبالس 	 Nirnama membalas
 داره برسمبورن 	 Darah bersemburan
 جبت ممبوک مات 	 Jebat membuka mata
 چندانا ترڤمڤن 	 Cendana terpempan
 سماڠتڽ كمبالي 	 Semangatnya kembali
 جاڬت سوچي چمس 	 Jagat Suci cemas
 وعليكم السلام 	 Waalaikumussalam
 واجه مريک ڤوچت 	 Wajah mereka pucat
 نيرنام مڠڬيليڠ 	 Nirnama menggeleng
 اه ڤركارا كچيل 	 Ah perkara kecil
 هه تيدق تربيلڠ 	 Hah tidak terbilang
 اكو تيدق ڤدولي 	 Aku tidak peduli
 دي سقدر ترسڠيه 	 Dia sekadar tersengih
 جاڠن باڽق بوڽي 	 Jangan banyak bunyi
 بولو روما مرمڠ 	 Bulu roma meremang
 اكو ڤرلو براني 	 Aku perlu berani
 ايت بوكن تمبهن 	 Itu bukan tambahan
 مات نديم ممبسر 	 Mata Nadim membesar
 نديم تيدق ڤستي 	 Nadim tidak pasti
 چندانا ممرهاتي 	 Cendana memerhati
 تڠڬڠ كتاوا بسر 	 Tanggang ketawa besar
 بولو روما منڬق 	 Bulu roma menegak
 كيت برتمو دسان 	 Kita bertemu di sana
 راجونا برسوارا 	 Rajuna bersuara
 ككودا دڤركمسكن 	 Kekuda diperkemaskan
 نيرنام منوندوق 	 Nirnama menunduk
 نيرنام برسوارا 	 Nirnama bersuara
 هاه چيق چندانا 	 Hah Cik Cendana
 واڠ اداله كواس 	 Wang adalah kuasa
 ايه دان ايبومو 	 Ayah dan ibumu
 چندانا برسوارا 	 Cendana bersuara
 چندانا ترڤرنجت 	 Cendana terperanjat
 نيرنام برسوارا 	 Nirnama bersuara
 چندانا بربيسيق 	 Cendana berbisik
 نيرنام مڠڬيليڠ 	 Nirnama menggeleng
 اينله كسقتينكو 	 Inilah kesaktianku
 دي ترماڠو-ماڠو 	 Dia termangu-mangu
 چندانا برسوارا 	 Cendana bersuara
 اوي مت تورونله 	 Oi Mat turunlah
 ريكاءنڽ سنديري 	 Rekaannya sendiri
 نيرنام برسوارا 	 Nirnama bersuara
 مصحف ايت دبوكڽ 	 Mushaf itu dibukanya
 تتاڤي دي تروجا 	 Tetapi dia teruja
 بنر چيق چندانا 	 Benar Cik Cendana
 دڠن ايذين الله 	 Dengan izin Allah
 چندانا برسوارا 	 Cendana bersuara
 نيرنام برسوارا 	 Nirnama bersuara
 چندانا برسوارا 	 Cendana bersuara
 دي كليهتن ڤوچت 	 Dia kelihatan pucat
 مک بيت تونايكن 	 Maka beta tunaikan
 تروس دي برسجود 	 Terus dia bersujud
 اءير مات دسكاڽ 	 Air mata disekanya
 هيلڠ تنڤا جيجق 	 Hilang tanpa jejak
 كامي سترو لاما 	 Kami seteru lama
 نيرنام برسوارا 	 Nirnama bersuara
 دي مليهت كباوه 	 Dia melihat ke bawah
 داداڽ تراس سسق 	 Dadanya terasa sesak
 دي ترسڽوم ليبر 	 Dia tersenyum lebar
 ڤنچاإيندرا كيت 	 Pancaindera kita
 دي ترسڠيه ليبر 	 Dia tersengih lebar
 ڤوجوقله جيوامو 	 Pujuklah jiwamu
 چندانا برسوارا 	 Cendana bersuara
 ايت چينتا ڤلسو 	 Itu cinta palsu
 اسڤ برتمبه تبل 	 Asap bertambah tebal
 ڬيڬيڽ برترابور 	 Giginya berterabur
 اديواج برسوارا 	 Adiwaja bersuara
 ڤانتس دي مڽبوت 	 Pantas dia menyebut
 بيچاراڽ ترهنتي 	 Bicaranya terhenti
 اديواج مڠڬيليڠ 	 Adiwaja menggeleng
 اديواج صحابتكو 	 Adiwaja sahabatku
 هاريڽ تله تيبا 	 Harinya telah tiba
 اديواج برسوارا 	 Adiwaja bersuara
 كستوري مڠيريڠي 	 Kasturi mengiringi
 ڤنومبوق دأڠكتڽ 	 Penumbuk diangkatnya
 نيرنام منجلسكن 	 Nirnama menjelaskan
 اكو رضا اديواج 	 Aku redha Adiwaja
 اڠين مندرو-درو 	 Angin menderu-deru
 نديم منلن ليور 	 Nadim menelan liur
 اكو سماكين توا 	 Aku semakin tua
 ڤندڠنڽ دلاريكن 	 Pandangannya dilarikan
 نيرنام برسوارا 	 Nirnama bersuara
 نيرنام مڠڬيليڠ 	 Nirnama menggeleng
 باڬوس انق مودا 	 Bagus anak muda
 ايت بوكن كچمسن 	 Itu bukan kecemasan
 كستوري برسوارا 	 Kasturi bersuara
 تيدق مڠاڤ توها 	 Tidak mengapa Tuha
 جبت مڠڠكت سمبه 	 Jebat mengangkat sembah
 چلاک اڠكاو جبت 	 Celaka engkau Jebat
 نيرنام برسوارا 	 Nirnama bersuara
 سني لاتيه تقوى 	 Seni Latih Taqwa
 بوكن كران دندم 	 Bukan kerana dendam
 ليدهڽ جادي كلو 	 Lidahnya jadi kelu
 دي ترسڽوم ليبر 	 Dia tersenyum lebar
 دي ترسڽوم ليبر 	 Dia tersenyum lebar
 ڤونچق تنڤا نام 	 Puncak Tanpa Nama
 اديواج مڠڬيليڠ 	 Adiwaja menggeleng
 هاڠت يڠ مڽنڠكن 	 Hangat yang menyenangkan
 دمکين جوݢ ڬورو 	 Demikian juga guru
 ريساو اكن دنيا 	 Risau akan dunia
 اديواج مڠڬيليڠ 	 Adiwaja menggeleng
 ماس منچمبوروءي 	 Masa mencemburui
 نراكڽ ادله بنر 	 Neraka-Nya adalah benar
 جادي مک جاديله 	 Jadi maka jadilah
 دي ككل برباريڠ 	 Dia kekal berbaring
 دريامو هاڽ الت 	 Deriamu hanya alat
 تڬوهله دڠن ايت 	 Teguhlah dengan itu
 نيرنام مڠڬيليڠ 	 Nirnama menggeleng
 نيرنام برڤاليڠ 	 Nirnama berpaling
 نفسڽ تيدق سكتا 	 Nafasnya tidak sekata
 برتنڠ انق مودا 	 Bertenang anak muda
 چندانا برسوارا 	 Cendana bersuara
 نيرنام منوندوق 	 Nirnama menunduk
 مالڠ بوات توها 	 Malang buat Tuha
 بنر ككندا توها 	 Benar Kakanda Tuha
 نفسڽ ترسكت-سكت 	 Nafasnya tersekat-sekat
 اديواج برسوارا 	 Adiwaja bersuara
 اديواج برڤاليڠ 	 Adiwaja berpaling
 دي تراڤوڠ-اڤوڠ 	 Dia terapung-apung
 دي تيدق برتاهن 	 Dia tidak bertahan
 چندانا مڠڬيليڠ 	 Cendana menggeleng
 اديواج مڠڬيليڠ 	 Adiwaja menggeleng
 كامي تيدق ڬنتر 	 Kami tidak gentar
 كمبالي كڤد اصل 	 Kembali kepada asal
 دي ممچوت ڤانتس 	 Dia memecut pantas
 دي منچوبا لاڬي 	 Dia mencuba lagi
 تتڤ تيدق برجاي 	 Tetap tidak berjaya
 دي ترسڽوم ليبر 	 Dia tersenyum lebar
 اديواج ترجاتوه 	 Adiwaja terjatuh
 سوده اكو ڽاتكن 	 Sudah aku nyatakan
 دي تروس برتاهن 	 Dia terus bertahan
 نيرنام مڠڬيليڠ 	 Nirnama menggeleng
 هاه نديم منمبه 	 Hah Nadim menambah
 نيرنام مڠڬيليڠ 	 Nirnama menggeleng
 ڤندڠرنڽ ترڬڠڬو 	 Pendengarannya terganggu
 اكو ماسيه ايڠت 	 Aku masih ingat
 باءيقله ڤق چيک 	 Baiklah pak cik
 چندانا مڠڬيليڠ 	 Cendana menggeleng
 اكو ماهو بريحت 	 Aku mahu berehat
 نيرنام برسوارا 	 Nirnama bersuara
 دڠن ايذين الله 	 Dengan izin Allah
 نيرنام برچريتا 	 Nirnama bercerita
 ڤلواڠ لبيه چره 	 Peluang lebih cerah
 ڤق كادوق كتاوا 	 Pak Kaduk ketawa
 ڤق كادوق كتاوا 	 Pak Kaduk ketawa
 تيدق تاهو باڽق 	 Tidak tahu banyak
 بوڽي ڬوڠ كدڠرن 	 Bunyi gong kedengaran
 تروس ڬارڠ مڽرڠ 	 Terus garang menyerang
 كستوري برسوارا 	 Kasturi bersuara
 جبت مڠڠكت سمبه 	 Jebat mengangkat sembah
 نيرنام برسوارا 	 Nirnama bersuara
 طاعتيله نيرنام 	 Taatilah Nirnama
 چندانا مڠڬيليڠ 	 Cendana menggeleng
 كيت ڤرلو ڤانتس 	 Kita perlu pantas
 ايهنداكو ڤرچاي 	 Ayahandaku percaya
 اڠكاو اكن ڬاڬل 	 Engkau akan gagal
 ايوه كيت بريدر 	 Ayuh kita beredar
 كليواڠ دهونوسڽ 	 Kelewang dihunusnya
 سڬرا دي منوليه 	 Segera dia menoleh
 ايتله ايهندامو 	 Itulah ayahandamu
 دي جاتوه كبومي 	 Dia jatuh ke bumi
 جاڬت سوچي مڠرڠ 	 Jagat Suci mengerang
 نيرنام مندوڠاق 	 Nirnama mendongak
 جبت جوݢترلوتوت 	 Jebat juga terlutut
 اين كالي كأمڤت 	 Ini kali keempat
 چندانا ترلوتوت 	 Cendana terlutut
 ميت٢ برڬليمڤڠن 	 Mayat-mayat bergelimpangan
 نيرنام ممرهاتي 	 Nirnama memerhati
 ممندا بنداهارا 	 Mamanda Bendahara
 ناكل ساڠت بودقڽ 	 Nakal sangat budaknya
 ايت هيناءن جهنم 	 Itu hinaan jahanam
 تاري سيلت دبوكڽ 	 Tari silat dibukanya
 مات نديم ممبولت 	 Mata Nadim membulat
 ماسيه ڤنجڠ ماسڽ 	 Masih panjang masanya
 مات نديم ممبولت 	 Mata Nadim membulat
 اڠكاو اكن دبورو 	 Engkau akan diburu
 نادا سواراڽ تڬڠ 	 Nada suaranya tegang
 مات نديم ممبولت 	 Mata Nadim membulat
 سميمڠڽ دأنجوركن 	 Sememangnya dianjurkan
 صلاة رواتب نامڽ 	 Solat Rawatib namanya
 اه اكو مان تاهو 	 Ah aku mana tahu
 برشكورله كڤد دي 	 Bersyukurlah kepada Dia
 تيدق اد ڤرجودين 	 Tidak ada perjudian
 اوڠ ممبوک مولوت 	 Awang membuka mulut
 توبوهڽ دجاتوهكن 	 Tubuhnya dijatuhkan
 دي ممبولتكن مات 	 Dia membulatkan mata
 تتاڤي هاڽ سيڤي٢ 	 Tetapi hanya sipi-sipi
 سليندڠ دجاتوهكن 	 Selendang dijatuhkan
 واجهڽ تراس هاڠت 	 Wajahnya terasa hangat
 ماتڽ تمبه بركاچ 	 Matanya tambah berkaca
 جادي چيق چندانا 	 Jadi Cik Cendana
 كامي ساڠت هرڬاي 	 Kami sangat hargai
 نديم منكن سوارا 	 Nadim menekan suara
 دي سريكندي هيبت 	 Dia srikandi hebat
 سداڤ ساڠت باءوڽ 	 Sedap sangat baunya
 هاتي نديم لولوه 	 Hati Nadim luluh
 كمباليله كڤد دي 	 Kembalilah kepada Dia
 كناڤ اڠكاو تيدق 	 kenapa engkau tidak
 تتاڤي سوده لاما 	 Tetapi sudah lama
 نيرنام ممبتولكن 	 Nirnama membetulkan
 چندانا ترسوڠڬيڠ 	 Cendana tersungging
 دي تيبا٢ مونچول 	 Dia tiba-tiba muncul
 مات جنين ممبولت 	 Mata Jenin membulat
 اه باءيق ڤق چيق 	 Ah baik pak cik
 دي سماكين همڤير 	 Dia semakin hampir
 مات نديم ممبولت 	 Mata Nadim membulat
 نديم مڠڠكت سمبه 	 Nadim mengangkat sembah
 نديم منڤوق دادا 	 Nadim menepuk dada
 سموا برمات بولت 	 Semua bermata bulat
 اڠكاو دان اڠكاو 	 Engkau dan engkau
 باءيقله باءيقله 	 Baiklah baiklah
 داهي برتمو بومي 	 Dahi bertemu bumi
 ميمڠ اكو كمبالي 	 Memang aku kembali
 اكو ماسيه هيدوڤ 	 Aku masih hidup
 دي مڠرسكن سوارا 	 Dia mengeraskan suara
 مردو تتاڤي ڤادو 	 Merdu tetapi padu
 دي ممندڠ اديواج 	 Dia memandang Adiwaja
 ڤرلوكن تاداببور 	 Perlukan tadabbur
 تدبور  ڤمرهاتين 	 Tadabbur  Pemerhatian
 جنين مڠهيلا نفس 	 Jenin menghela nafas
 يا توانكو ڤوتري 	 Ya tuanku puteri
 جادي دي برترياق 	 Jadi Dia berteriak
 كيت هاڽ براوسها 	 Kita hanya berusaha
 ستاڤق دمي ستاڤق 	 Setapak demi setapak
 الإسراء ايات 79 	 Al-Isra ayat 79
 دي ماسيه ممباتو 	 Dia masih membatu
 مريک تروس دبليت 	 Mereka terus dibelit
 نديم ممندڠ جنين 	 Nadim memandang Jenin
 دمكين ڬڠݢ نڬارا 	 Demikian Gangga Negara
 ايتله رالتڽ اكو 	 Itulah ralatnya aku
 سيحير يڠ مڽستكن 	 Sihir yang menyesatkan
 اكن اكو سمڤايكن 	 Akan aku sampaikan
 دي سريكندي هيبت 	 Dia srikandi hebat
 محمود جاڬت سوچي 	 Mahmud Jagat Suci
 موݢ تربوک هاتيڽ 	 Moga terbuka hatinya
 تومبڠكن كباطيلن 	 Tumbangkan kebatilan
 مات نديم ممبولت 	 Mata Nadim membulat
 نديم كتاوا قوات 	 Nadim ketawa kuat
 شيريک دان خرافت 	 Syirik dan khurafat
 ايوه كيت برسديا 	 Ayuh kita bersedia
 يا ميمڤي يڠ كرڤ 	 Ya mimpi yang kerap
 دمي الله نيرنام 	 Demi Allah Nirnama
 توها تيدق ڤدولي 	 Tuha tidak peduli
 اد تبل اد نيڤيس 	 Ada tebal ada nipis
 برمولا دري اساس 	 Bermula dari asas
 مريک اخيرڽ اكور 	 Mereka akhirnya akur
 دي كمبالي كبومي 	 Dia kembali ke bumi
 مڽينديڠ برڬوليڠ 	 Menyendeng berguling
 هاتي لبيه برسيه 	 Hati lebih bersih
 مات هاتيڽ تربوک 	 Mata hatinya terbuka
 تروس دي برڤاليڠ 	 Terus dia berpaling
 اكو ممهميڽ ڬورو 	 Aku memahaminya guru
 اوسه كماري لاڬي 	 Usah ke mari lagi
 ترايكت دڠن دنيا 	 Terikat dengan dunia
 اڠين مولا مندرو 	 Angin mula menderu
 للاكي ايت كتاوا 	 Lelaki itu ketawa
 اڠكاو دأمبڠ موت 	 Engkau di ambang maut
 اڠين مولا مندرو 	 Angin mula menderu
 بولو روماڽ منڬق 	 Bulu romanya menegak
 اڠكاو بوكن لاڬي 	 Engkau bukan lagi
 ڬراهم تركتڤ ڬرم 	 Geraham terketap geram
 تاوا توها سوروت 	 Tawa Tuha surut
 كساكيتنڽ مڠندور 	 Kesakitannya mengendur
 تروس دي مڽينديڠ 	 Terus dia menyendeng
 ايت بوكن تختامو 	 Itu bukan takhtamu
 دي ممندڠ اديواج 	 Dia memandang Adiwaja
 علاءالدين برتڬس 	 Alauddin bertegas
 ايتله علاءالدين 	 Itulah Alauddin
 بونوه مريک سموا 	 Bunuh mereka semua
 تتاڤي تيدق مڠاڤ 	 Tetapi tidak mengapa
 اكو بهكن ترچدرا 	 Aku bahkan tercedera
 لڤسكن دي اديواج 	 Lepaskan dia Adiwaja
 ماتڽ ستاجم هلاڠ 	 Matanya setajam helang
 دي ممندڠ كستوري 	 Dia memandang Kasturi
 جاڠن اڠكوه جاڬت 	 Jangan angkuh Jagat
 جاڬت سوچي كتاوا 	 Jagat Suci ketawa
 جاڬت سوچي كتاوا 	 Jagat Suci ketawa
 ايت بوكن كسقتين 	 Itu bukan kesaktian
 ايت تانه اءيركو 	 Itu tanah airku
 اه بوليه نيرنام 	 Ah boleh Nirnama
 جنين ممتيق جاري 	 Jenin memetik jari
 اونتوق  منيكهيڽ 	 Untuk  Menikahinya
 ترماسوقله بوندا 	 Termasuklah bonda
 هاه بڬيتو روڤاڽ 	 Hah begitu rupanya
 مات نديم ممبولت 	 Mata Nadim membulat
 ڤق كادوق ترسڽوم 	 Pak Kaduk tersenyum
 دي ممندڠ نيرنام 	 Dia memandang Nirnama
 ڤق كادوق ترسڠيه 	 Pak Kaduk tersengih
 كالين هاڽ بردوا 	 Kalian hanya berdua
 توتوڤ مات كالين 	 Tutup mata kalian
 دي سڬرا برڤاليڠ 	 Dia segera berpaling
 ليهتله كأداءنمو 	 Lihatlah keadaanmu
 كيت برتمو سمولا 	 Kita bertemu semula
 ماتڽ بركاچا-كاچ 	 Matanya berkaca-kaca
 دي ممندڠ نيرنام 	 Dia memandang Nirnama
 سڠيهن جبت مليبر 	 Sengihan Jebat melebar
 اوسها اڤ ترممڤو 	 Usaha apa termampu
 ماتڽ ستاجم هلاڠ 	 Matanya setajam helang
 سمبه حرمت دأڠكت 	 Sembah hormat diangkat
 تهنيئه ادينداكو 	 Tahniah adindaku
 ماري كيت برانسور 	 Mari kita beransur
 داره مرچيق كبومي 	 Darah merecik ke bumi
 توانكو جاڬت سوچي 	 Tuanku Jagat Suci
 جاڬت سوچي مندڠوس 	 Jagat Suci mendengus
 برتنڠ نجوم سوريا 	 Bertenang Nujum Surya
 دي منوليه كبلاكڠ 	 Dia menoleh ke belakang
 دي ككل دڠن سڽومن 	 Dia kekal dengan senyuman
