Dia ternganga. 	 دي ترڠاڠا.
Walaupun libasan tersebut pantas, tetapi pergerakan itu terhenti tatkala pergelangan tangannya disambut telapak tangan lawan. 	 والاوڤون ليبسن ترسبوت ڤانتس، تتاڤي ڤرڬرقن ايت ترهنتي تتكالا ڤرڬلڠن تاڠنڽ دسمبوت تلڤق تاڠن لاون.
Lelaki berparut itu kemudian menarik hulubalang Bagak Durjana tersebut ke hadapan, sebelum satu penumbuk dilepaskan ke wajah. 	 للاكي برڤاروت ايت كمودين مناريق هولوبالڠ باڬق دورجان ترسبوت كهادڤن، سبلوم ساتو ڤنومبوق دلڤسكن كواجه.
Hulubalang Bagak Durjana itu terpelanting, menghentam sebuah meja. 	 هولوبالڠ باڬق دورجان ايت ترڤلنتيڠ، مڠهنتم سبواه ميجا.
Meja itu berkecai dihempap tubuhnya. 	 ميجا ايت بركچاي دهمڤاڤ توبوهڽ.
Erang kesakitan melatari suasana di sekitar warung tersebut. 	 ارڠ كساكيتن ملاتاري سواسان دسكيتر واروڠ ترسبوت.
Jika engkau mahu terus hidup, sebaiknya terus berbaring. 	 جک اڠكاو ماهو تروس هيدوڤ، سباءيقڽ تروس برباريڠ.
Jika tidak, engkau akan mengekori dua rakanmu ke alam barzakh. 	 جک تيدق، اڠكاو اكن مڠيكوري دوا راكنمو كعالم برزخ.
Lelaki berparut itu bersuara perlahan tetapi jelas, sambil saling menepuk kedua-dua belah tangannya bagi mengenyahkan debu. 	 للاكي برڤاروت ايت برسوارا ڤرلاهن تتاڤي جلس، سمبيل ساليڠ منڤوق كدوا-دوا بله تاڠنڽ باڬي مڠڽهكن دبو.
Hulubalang Bagak Durjana itu menarik nafas panjang sebelum terkulai. 	 هولوبالڠ باڬق دورجان ايت مناريق نفس ڤنجڠ سبلوم تركولاي.
Hilang kesedaran di situ juga walau hanya menerima satu tumbukan. 	 هيلڠ كسدرن دسيتو جوݢ والاو هاڽ منريما ساتو تومبوقن.
Jelas, tumbukan itu bukan tumbukan biasa-biasa. 	 جلس، تومبوقن ايت بوكن تومبوقن بياسا٢.
Dua sahabat yang semenjak tadi membatu, berhasrat mendapatkan si pengembara bagi mengungkapkan rasa kagum dan berterima kasih. 	 دوا صحابة يڠ سمنجق تادي ممباتو، برحسرت منداڤتكن سي ڤڠمبارا باڬي مڠوڠكڤكن راس كاڬوم دان برتريما كاسيه.
Namun, baru sahaja mereka mahu melangkah, lelaki berparut di pipi itu telah keluar dari warung. 	 نامون، بارو سهاج مريک ماهو ملڠكه، للاكي برڤاروت دڤيڤي ايت تله كلوار دري واروڠ.
Mereka mahu memanggil si pengembara  tersebut, tetapi terlihat pula seorang budak sedang diseret oleh dua lelaki bersenjata bagi menghadap lelaki yang bertubuh sasa. 	 مريک ماهو ممڠڬيل سي ڤڠمبارا ترسبوت، تتاڤي ترليهت ڤولا سأورڠ بودق سدڠ دسيريت اوليه دوا للاكي برسنجات باڬي مڠهادڤ للاكي يڠ برتوبوه ساس.
Itu Sang Kancil!  Dia telah ditangkap!  Dua sahabat itu saling berpandangan sebelum sama-sama mengerling kepada si pengembara yang telah menyelamatkan mereka berdua. 	 ايت سڠ كنچيل!  دي تله دتڠكڤ!  دوا صحابة ايت ساليڠ برڤندڠن سبلوم سام٢ مڠرليڠ كڤد سي ڤڠمبارا يڠ تله مڽلامتكن مريک بردوا.
Pada masa yang sama, budak itu ditolak kasar hingga berdiri sekitar sedepa dari Bagak Durjana. 	 ڤد ماس يڠ سام، بودق ايت دتولق كاسر هيڠݢ برديري سكيتر سدڤا دري باڬق دورجان.
Waduh, Tuan Bagak, begini sekali tuan berminat dengan silap mataku. 	 وادوه، توان باڬق، بڬيني سكالي توان برمينت دڠن سيلڤ ماتكو.
Aku terharu! Budak itu kelihatan bersahaja, namun ada getaran pada nada suaranya. 	 اكو ترهارو! بودق ايت كليهتن برسهاج، نامون اد ڬترن ڤد نادا سواراڽ.
Jelas, ada gerun dan risau sedang bergelora dalam dada. 	 جلس، اد ڬرون دان ريساو سدڠ برڬلورا دالم دادا.
Tetapi senyuman pada bibirnya cuba menyembunyikan semua itu. 	 تتاڤي سڽومن ڤد بيبيرڽ چوبا مڽمبوڽيكن سموا ايت.
Bagak Durjana mendengus garang. 	 باڬق دورجان مندڠوس ڬارڠ.
Engkau telah menghina aku dan orang-orangku. 	 اڠكاو تله مڠهينا اكو دان اورڠ-اورڠكو.
Engkau fikir engkau boleh terus hidup?! Belantan berduri dihentakkan ke tanah. 	 اڠكاو فيكير اڠكاو بوليه تروس هيدوڤ؟! بلنتن بردوري دهنتقكن كتانه.
Budak yang bergelar Sang Kancil itu menelan liur saat melihat saiz belantan berduri tersebut. 	 بودق يڠ برڬلر سڠ كنچيل ايت منلن ليور ساعت مليهت ساءيز بلنتن بردوري ترسبوت.
Namun, digagahi dirinya untuk terus tersenyum dan menatap tepat wajah Bagak Durjana. 	 نامون، دڬاڬهي ديريڽ اونتوق تروس ترسڽوم دان مناتڤ تڤت واجه باڬق دورجان.
Tuan Bagak yang mulia, aku hanya bersenda. 	 توان باڬق يڠ موليا، اكو هاڽ برسندا.
Tuan pasti berjiwa besar, selayaknya insan perkasa dan berkuasa seperti tuan. 	 توان ڤستي برجيوا بسر، سلايقڽ انسان ڤركاس دان بركواس سڤرتي توان.
Sang Kancil tersengih-sengih, bermain kata-kata. 	 سڠ كنچيل ترسڠيه-سڠيه، برماءين كات٢.
Bergurau dengan meluku kepala aku dan orang-orangku?  Hulubalang-hulubalang Bagak Durjana yang tadi bertebaran, mula kembali ke sisi tuan mereka. 	 برڬوراو دڠن ملوكو كڤالا اكو دان اورڠ-اورڠكو؟  هولوبالڠ٢ باڬق دورجان يڠ تادي برتبارن، مولا كمبالي كسيسي توان مريک.
Orang ramai yang tadi bertempiaran lari, sebahagian kembali untuk melihat apa yang bakal berlaku. 	 اورڠ راماي يڠ تادي برتمڤيارن لاري، سبهاڬين كمبالي اونتوق مليهت اڤ يڠ باكل برلاكو.
Masing-masing mahu mengetahui akan nasib Sang Kancil yang memang terkenal dengan kenakalannya. 	 ماسيڠ٢ ماهو مڠتاهوءي اكن نصيب سڠ كنچيل يڠ ميمڠ تركنل دڠن كناكلنڽ.
Kali ini, kenakalan Sang Kancil bakal memakan diri. 	 كالي اين، كناكلن سڠ كنچيل باكل مماكن ديري.
Tuan Bagak yang minta aku menghiburkan kalian dengan silap mata. 	 توان باڬق يڠ مينتا اكو مڠهيبوركن كالين دڠن سيلڤ مات.
Maka itulah yang aku usahakan. 	 مک ايتوله يڠ اكو اوسهاكن.
Tinggal, kalian saja tidak terhibur. 	 تيڠڬل، كالين ساج تيدق ترهيبور.
Kerana itu bukan hiburan. 	 كران ايت بوكن هيبورن.
Itu hinaan, jahanam. 	 ايت هيناءن، جهنم.
Engkau mempergunakan nama Jagat Suci bagi membodohkan kami!  Itulah hiburan. 	 اڠكاو ممڤرڬوناكن نام جاڬت سوچي باڬي ممبودوهكن كامي!  ايتله هيبورن.
Aku terhibur. 	 اكو ترهيبور.
Satu dua tiga lekuk, jantan betina aku ketuk. 	 ساتو دوا تيݢ لكوق، جنتن بتينا اكو كتوق.
Budak itu ketawa berdekah-dekah. 	 بودق ايت كتاوا بردكه-دكه.
Kalian sangka aku adalah Jagat Suci yang menyamar sebagai seorang budak. 	 كالين سڠک اكو اداله جاڬت سوچي يڠ مڽامر سباڬاي سأورڠ بودق.
Beratur kalian menuruti arahanku. 	 براتور كالين منوروتي ارهنكو.
Apakah kalian baru sedar setelah lama aku meninggalkan istanamu?  Budak jahanam! Belantan berduri diangkat tinggi. 	 اڤاكه كالين بارو سدر ستله لاما اكو منيڠڬلكن ايستانمو؟  بودق جهنم! بلنتن بردوري دأڠكت تيڠڬي.
Tarikan nafas orang ramai kedengaran, seolah-olah tidak menyangka bahawa nyawa Sang Kancil bakal tamat dalam beberapa saat lagi. 	 تاريقن نفس اورڠ راماي كدڠرن، سأوله-اوله تيدق مڽڠک بهاوا ڽاوا سڠ كنچيل باكل تمت دالم ببراڤ ساعت لاڬي.
Hukuman mati untuk engkau, budak! Belantan berduri dilibas sekuat hati. 	 حكومن ماتي اونتوق اڠكاو، بودق! بلنتن بردوري دليبس سقوات هاتي.
Angin kuat tidak semena-mena menerpa, membuatkan debu-debu kencang berterbangan ke udara, berkepul-kepul menutupi suasana. 	 اڠين قوات تيدق سمنا-منا منرڤا، ممبواتكن دبو٢ كنچڠ برتربڠن كأودارا، بركڤول-كڤول منوتوڤي سواسان.
Nasib Sang Kancil menjadi tanda tanya. 	 نصيب سڠ كنچيل منجادي تندا تاڽ.
Orang ramai yang memerhati, saling berebut-rebut untuk berada di barisan paling hadapan bagi melihat pengakhiran budak nakal itu. 	 اورڠ راماي يڠ ممرهاتي، ساليڠ بربوت-ربوت اونتوق براد دباريسن ڤاليڠ هادڤن باڬي مليهت ڤڠأخيرن بودق ناكل ايت.
Kendatipun begitu, ketika kepulan-kepulan debu tersebut belum benar-benar berpapasan, Bagak Durjana dapat merasakan sesuatu yang aneh. 	 كنداتيڤون بڬيتو، كتيک كڤولن٢ دبو ترسبوت بلوم بنر٢ برڤاڤسن، باڬق دورجان داڤت مراساكن سسواتو يڠ انيه.
Belantan berduri itu tidak menjejak tanah, bagaikan tersekat di tengah-tengah pergerakan. 	 بلنتن بردوري ايت تيدق منججق تانه، باڬايكن ترسكت دتڠه-تڠه ڤرڬرقن.
Hanya deruan angin yang terbawa ke bumi. 	 هاڽ دروان اڠين يڠ ترباوا كبومي.
Nirnama. 	 نيرنام.
Engkau betul-betul tiba! Suara Sang Kancil kedengaran di balik kepulan-kepulan debu yang perlahan-lahan menghilang dibawa angin. 	 اڠكاو بتول٢ تيبا! سوارا سڠ كنچيل كدڠرن دباليق كڤولن٢ دبو يڠ ڤرلاهن-لاهن مڠهيلڠ دباوا اڠين.
Terzahirlah seorang lelaki bertubuh sederhana dan berperawakan pendekar, sedang menahan belantan berduri dengan hanya sebelah tangan. 	 ترظاهيرله سأورڠ للاكي برتوبوه سدرهان دان برڤراوقن ڤنديكر، سدڠ مناهن بلنتن بردوري دڠن هاڽ سبله تاڠن.
Sebilah keris terhunus, menikam belantan berduri itu, menyekatnya daripada mengapa-apakan Sang Kancil. 	 سبيله كريس ترهونوس، منيكم بلنتن بردوري ايت، مڽكتڽ درڤد مڠاڤا-اڤاكن سڠ كنچيل.
Terbelalak Bagak Durjana. 	 تربلالق باڬق دورجان.
Hulubalang-hulubalangnya turut terpana. 	 هولوبالڠ-هولوبالڠڽ توروت ترڤان.
Bagak Durjana bukanlah orang yang lemah, dan libasan tadi penuh berkuasa. 	 باڬق دورجان بوكنله اورڠ يڠ لمه، دان ليبسن تادي ڤنوه بركواس.
Susuk tubuh sederhana lelaki di hadapan mereka kini mustahil mampu menghalang serangan tadi. 	 سوسوق توبوه سدرهان للاكي دهادڤن مريک كيني مستحيل ممڤو مڠهالڠ سرڠن تادي.
Apatah lagi dengan hanya sebelah tangan. 	 اڤاته لاڬي دڠن هاڽ سبله تاڠن.
Tidak dapat diterjemah keadaan ini oleh akal!  Engkau mengotakan kata-katamu. 	 تيدق داڤت دترجمه كأداءن اين اوليه عقل!  اڠكاو مڠوتاكن كات-كاتمو.
Aku kagum, Sang Kancil. 	 اكو كاڬوم، سڠ كنچيل.
Lelaki bertubuh sederhana dan berperawakan pendekar itu memandang Sang Kancil. 	 للاكي برتوبوه سدرهان دان برڤراوقن ڤنديكر ايت ممندڠ سڠ كنچيل.
Budak itu ketawa kecil. 	 بودق ايت كتاوا كچيل.
Sudah aku nyatakan, aku mampu membuat Bagak Durjana meninggalkan istananya!   Satu garis nipis terukir pada bibir lelaki berparut tersebut. 	 سوده اكو ڽاتكن، اكو ممڤو ممبوات باڬق دورجان منيڠڬلكن ايستانڽ!  ساتو ڬاريس نيڤيس تراوكير ڤد بيبير للاكي برڤاروت ترسبوت.
Dahi Bagak Durjana berkerut seribu. 	 داهي باڬق دورجان بركروت سريبو.
Apa yang sedang berlaku?  Dia berasa terhina. 	 اڤ يڠ سدڠ برلاكو؟  دي براس ترهينا.
Segera dia mengangkat belantan berduri untuk melakukan serangan yang seterusnya. 	 سڬرا دي مڠڠكت بلنتن بردوري اونتوق ملاكوكن سرڠن يڠ ستروسڽ.
Namun, senjata itu tidak dapat digerakkan. 	 نامون، سنجات ايت تيدق داڤت دڬرقكن.
Kerutan pada dahinya tambah berlapis-lapis. 	 كروتن ڤد داهيڽ تمبه برلاڤيس-لاڤيس.
Lelaki di hadapannya itu jelas sedang mengenakan suatu tenaga kepada keris yang sedang menikam belantan berduri tersebut. 	 للاكي دهادڤنڽ ايت جلس سدڠ مڠناكن سواتو تناݢ كڤد كريس يڠ سدڠ منيكم بلنتن بردوري ترسبوت.
Hapuskan mereka berdua! Bagak Durjana melaung. 	 هاڤوسكن مريک بردوا! باڬق دورجان ملاءوڠ.
Serang! Dua puluh tujuh hulubalang Bagak Durjana menyerbu serentak. 	 سرڠ! دوا ڤولوه توجوه هولوبالڠ باڬق دورجان مڽربو سرنتق.
Engkau perlu menjauh, Nadim!  Lelaki itu memanjangkan kakinya, menolak Sang Kancil dengan suatu daya yang tidak menyakitkan, tetapi cukup kuat untuk menghantar budak itu melayang ke tempat kerumunan ramai. 	 اڠكاو ڤرلو منجاءوه، نديم!  للاكي ايت ممنجڠكن كاكيڽ، منولق سڠ كنچيل دڠن سواتو داي يڠ تيدق مڽاكيتكن، تتاڤي چوكوڤ قوات اونتوق مڠهنتر بودق ايت ملايڠ كتمڤت كرومونن راماي.
Sang Kancil disambut oleh orang-orang Perkampungan Medini. 	 سڠ كنچيل دسمبوت اوليه اورڠ٢ ڤركامڤوڠن مديني.
Siapakah pendekar muda itu, Nadim?  Beberapa orang kampung mula menggerumuni Sang Kancil. 	 سياڤاكه ڤنديكر مودا ايت، نديم؟  ببراڤ اورڠ كامڤوڠ مولا مڠروموني سڠ كنچيل.
Ikatan pada tangannya dilucutkan. 	 ايكتن ڤد تاڠنڽ دلوچوتكن.
Budak yang dipanggil Nadim itu tersenyum besar. 	 بودق يڠ دڤڠڬيل نديم ايت ترسڽوم بسر.
Itulah Nirnama!  Cerita dongeng itu?  Yang dikatakan telah berkelana ke merata tempat, membantu ramai orang?  Insan sakti?  Hidung Sang Kancil mula kembang semangkuk. 	 ايتله نيرنام!  چريتا دوڠيڠ ايت؟  يڠ دكاتاكن تله بركلنا كمرات تمڤت، ممبنتو راماي اورڠ؟  انسان سقتي؟  هيدوڠ سڠ كنچيل مولا كمبڠ سمڠكوق.
Senyuman semakin melebar. 	 سڽومن سماكين مليبر.
Benar!   Orang ramai mula membulatkan perhatian kepada medan pertarungan. 	 بنر!  واهاي تتوان دڠرله بريتا نيرنام تيبا مڽاه دريتا دكالا سورم دياله ڤليتا ڤڠهاڤوس نيستا مڽيليه ݢايتا  ليهتله لاݢق باݢق دورجان تادي برلاݢق كيني ترڤان سي هولوبالڠ باكل مران نيرنام داتڠ باوا بنچان  باواله ماري ليكور دلاڤن برسنجات بسي بركلڠكڤن ڤوكولن سقتي توجه كدڤن سبنتر ننتي بركاءين كاڤن   اورڠ راماي مولا ممبولتكن ڤرهاتين كڤد ميدن ڤرتاروڠن.
Lelaki bertubuh sederhana dan berperawakan pendekar yang bergelar Nirnama itu lincah bertarung menentang konco-konco Bagak Durjana. 	 للاكي برتوبوه سدرهان دان برڤراوقن ڤنديكر يڠ برڬلر نيرنام ايت لينچه برتاروڠ مننتڠ كونچو٢ باڬق دورجان.
Walaupun berhadapan banyak lawan, lelaki itu tetap tenang. 	 والاوڤون برهادڤن باڽق لاون، للاكي ايت تتڤ تنڠ.
Setiap serangan dielak dengan baik, ada yang disambut, ada yang ditangkis. 	 ستياڤ سرڠن دإيلق دڠن باءيق، اد يڠ دسمبوت، اد يڠ دتڠكيس.
