A. 	 ا.
Dahinya berkerut. 	 داهيڽ بركروت.
Matanya menjegil. 	 ماتڽ منجڬيل.
Nirnama bertegas. 	 نيرنام برتڬس.
Matanya menjegil. 	 ماتڽ منجڬيل.
Berkerut dahinya. 	 بركروت داهيڽ.
Cendana bersuara. 	 چندانا برسوارا.
Nirnama menunduk. 	 نيرنام منوندوق.
Malang buat Tuha. 	 مالڠ بوات توها.
Nirnama menambah. 	 نيرنام منمبه.
Sangat merugikan. 	 ساڠت مروڬيكن.
Adiwaja bersuara. 	 اديواج برسوارا.
Silat Tanpa Nama. 	 سيلت تنڤا نام.
Dia mencuba lagi. 	 دي منچوبا لاڬي.
Adiwaja terjatuh. 	 اديواج ترجاتوه.
Cendana mencelah. 	 چندانا منچله.
Menarik, menarik. 	 مناريق، مناريق.
Assalamu’alaikum. 	 السلام عليكم.
Waalaikumussalam. 	 وعليكم السلام.
Maha Besar Allah. 	 مها بسر الله.
Dahinya berdarah. 	 داهيڽ برداره.
Jenin mengangguk. 	 جنين مڠڠڬوق.
Baiklah, pak cik. 	 باءيقله، ڤق چيک.
Aku mahu berehat. 	 اكو ماهو بريحت.
Nirnama bersuara. 	 نيرنام برسوارا.
Nadim mengangguk. 	 نديم مڠڠڬوق.
Pak Kaduk ketawa. 	 ڤق كادوق كتاوا.
Pak Kaduk ketawa. 	 ڤق كادوق كتاوا.
Nadim mengangguk. 	 نديم مڠڠڬوق.
Benar, Pak Kaduk. 	 بنر، ڤق كادوق.
Nadim mengangguk. 	 نديم مڠڠڬوق لاجو.
Kasturi bersuara. 	 كستوري برسوارا.
Kasturi menambah. 	 كستوري منمبه.
Nirnama memotong. 	 نيرنام مموتوڠ.
Pecah tawa Jebat. 	 ڤچه تاوا جبت.
Ini penghormatan. 	 اين ڤڠحرمتن.
Kasturi mencelah. 	 كستوري منچله.
Sudah semestinya. 	 سوده سمستيڽ.
Nirnama bersuara. 	 نيرنام برسوارا.
Taatilah Nirnama. 	 طاعتيله نيرنام.
aman, berbanding. 	 امان، بربنديڠ.
Jenin mengangguk. 	 جنين مڠڠڬوق.
Engkau!  Ya, aku. 	 اڠكاو!  يا، اكو.
Jebat mengangguk. 	 جبت مڠڠڬوق.
Nirnama membalas. 	 نيرنام ممبالس.
Ini kali keempat. 	 اين كالي كأمڤت.
Cendana terlutut. 	 چندانا ترلوتوت.
Jagat Suci cemas. 	 جاڬت سوچي چمس.
Subuh telah tiba. 	 صبح تله تيبا.
Waalaikumussalam. 	 وعليكم السلام.
Tuanku Jagat Suci. 	 توانكو جاڬت سوچي.
Ah, perkara kecil. 	 اه، ڤركارا كچيل.
Aku berkata benar. 	 اكو بركات بنر.
Jika engkau mampu. 	 جک اڠكاو ممڤو.
Ah, aku mana tahu. 	 اه، اكو مان تاهو.
Demikian juga dia. 	 دمكين جوݢ دي.
Nadim tidak pasti. 	 نديم تيدق ڤستي.
Cendana memerhati. 	 چندانا ممرهاتي.
Bulu roma menegak. 	 بولو روما منڬق.
Cendana terpempan. 	 چندانا ترڤمڤن.
Wang adalah kuasa. 	 واڠ اداله كواس.
Nirnama terpempan. 	 نيرنام ترڤمڤن.
Dia memang begitu. 	 دي ميمڠ بڬيتو.
Oi, Mat, turunlah. 	 اوي، مت، تورونله.
Rekaannya sendiri. 	 ريكاءنڽ سنديري.
Tanpa pemerhatian. 	 تنڤا ڤمرهاتين.
Tetapi sudah lama. 	 تتاڤي سوده لاما.
Tetapi dia teruja. 	 تتاڤي دي تروجا.
Dengan izin Allah. 	 دڠن ايذين الله.
Ah, baik, pak cik. 	 اه، باءيق، ڤق چيق.
Cendana terpempan. 	 چندانا ترڤمڤن.
Engkau dan engkau. 	 اڠكاو دان اڠكاو.
Dahi bertemu bumi. 	 داهي برتمو بومي.
Merdu tetapi padu. 	 مردو تتاڤي ڤادو.
Cendana tersengih. 	 چندانا ترسڠيه.
Perlukan tadabbur. 	 ڤرلوكن تاداببور.
Ya, tuanku puteri. 	 يا، توانكو ڤوتري.
Terus dia memecut. 	 تروس دي ممچوت.
Perhebatkan taqwa. 	 ڤرهيبتكن تقوى.
Celaka, Santubong. 	 چلاک، سنتوبوڠ.
Hidungnya bengkok. 	 هيدوڠڽ بيڠكوق.
Dia masih membatu. 	 دي ماسيه ممباتو.
Kakanda Santubong. 	 ككندا سنتوبوڠ.
Putaran kehidupan. 	 ڤوترن كهيدوڤن.
Jelas bersemangat. 	 جلس برسماڠت.
Matanya terbeliak. 	 ماتڽ تربلياق.
Adiwaja menyambut. 	 اديواج مڽمبوت.
Nadim ketawa kuat. 	 نديم كتاوا قوات.
Lantas menggeleng. 	 لنتس مڠڬيليڠ.
Nirnama tersengih. 	 نيرنام ترسڠيه.
Tuha tidak peduli. 	 توها تيدق ڤدولي.
Nirnama mengulang. 	 نيرنام مڠولڠ.
Aku hanya berkata. 	 اكو هاڽ بركات.
Bermula dari asas. 	 برمولا دري اساس.
Kasturi tersengih. 	 كستوري ترسڠيه.
Lawannya bersuara. 	 لاونڽ برسوارا.
Hati lebih bersih. 	 هاتي لبيه برسيه.
Bukan kerana nama. 	 بوكن كران نام.
Cendana tersenyum. 	 چندانا ترسڽوم.
Puncak Tanpa Nama. 	 ڤونچق تنڤا نام.
Nirnama tersenyum. 	 نيرنام ترسڽوم.
Usah ke mari lagi. 	 اوسه كماري لاڬي.
Alauddin menunduk. 	 علاءالدين منوندوق.
Lelaki itu ketawa. 	 للاكي ايت كتاوا.
Dia bukan makhluk. 	 دي بوكن مخلوق.
Engkau bukan lagi. 	 اڠكاو بوكن لاڬي.
Bertenang, tuanku. 	 برتنڠ، توانكو.
Jebat serba salah. 	 جبت سربا ساله.
Nirnama berpaling. 	 نيرنام برڤاليڠ.
Alauddin bertegas. 	 علاءالدين برتڬس.
Susun perancangan. 	 سوسون ڤرانچڠن.
Bersedia, kakanda. 	 برسديا، ككندا.
Alauddin bersuara. 	 علاءالدين برسوارا.
Benar bukan, adin. 	 بنر بوكن، ادين.
Keperitan dirasai. 	 كڤريتن دراسا.
Alauddin bersuara. 	 علاءالدين برسوارا.
Tidak ada apa-apa. 	 تيدق اد اڤ٢.
Adiwaja berpaling. 	 اديواج برڤاليڠ.
Kasturi tersenyum. 	 كستوري ترسڽوم.
Tidak ada apa-apa. 	 تيدق اد اڤ٢.
Kami tidak gentar. 	 كامي تيدق ڬنتر.
Jagat Suci ketawa. 	 جاڬت سوچي كتاوا.
Tersentak Adiwaja. 	 ترسنتق اديواج.
Jagat Suci ketawa. 	 جاڬت سوچي كتاوا.
Senyumannya lebar. 	 سڽومنڽ ليبر.
Adiwaja tersengih. 	 اديواج ترسڠيه.
Bayu laut menerpa. 	 بايو لاءوت منرڤا.
Adiwaja tersentak. 	 اديواج ترسنتق.
Termasuklah bonda. 	 ترماسوقله بوندا.
Dengan izin Allah. 	 دڠن ايذين الله.
Saja aku menyakat. 	 ساج اكو مڽاكت.
Nirnama bercerita. 	 نيرنام برچريتا.
Kulitnya terbelah. 	 كوليتڽ تربله.
Mereka telah tiba. 	 مريک تله تيبا.
Tidak tahu banyak. 	 تيدق تاهو باڽق.
Cendana tersengih. 	 چندانا ترسڠيه.
Alauddin membalas. 	 علاءالدين ممبالس.
Tutup mata kalian. 	 توتوڤ مات كالين.
Bersangka baiklah. 	 برسڠک باءيقله.
Wajahnya diangkat. 	 واجهڽ دأڠكت.
Kita perlu pantas. 	 كيت ڤرلو ڤانتس.
Engkau akan gagal. 	 اڠكاو اكن ڬاڬل.
Nirnama tersengih. 	 نيرنام ترسڠيه.
Itulah ayahandamu. 	 ايتله ايهندامو.
Dengarlah suaraku. 	 دڠرله سواراكو.
Dia jatuh ke bumi. 	 دي جاتوه كبومي.
Darah bersemburan. 	 داره برسمبورن.
Nirnama mendongak. 	 نيرنام مندوڠاق.
Cendana terpempan. 	 چندانا ترڤمڤن.
Nirnama memerhati. 	 نيرنام ممرهاتي.
Mamanda Bendahara. 	 ممندا بنداهارا.
Tahniah, adindaku. 	 تهنيئه، ادينداكو.
Mari kita beransur. 	 ماري كيت برانسور.
Wajah mereka pucat. 	 واجه مريک ڤوچت.
Nirnama menggeleng. 	 نيرنام مڠڬيليڠ.
Bergeraklah kalian. 	 برڬرقله كالين.
Bulu roma meremang. 	 بولو روما مرمڠ.
Engkau akan diburu. 	 اڠكاو اكن دبورو.
Aku suka budak ini. 	 اكو سوک بودق اين.
Aku perlu beransur. 	 اكو ڤرلو برانسور.
Nirnama mengangguk. 	 نيرنام مڠڠڬوق.
Nirnama mengangguk. 	 نيرنام مڠڠڬوق.
Itu bukan tambahan. 	 ايت بوكن تمبهن.
Sekadar berkenalan. 	 سقدر بركنلن.
Matanya terbelalak. 	 ماتڽ تربلالق.
Kami sangat hargai. 	 كامي ساڠت هرڬاي.
Sudah terlalu lama. 	 سوده ترلالو لاما.
Tanggang terpempan. 	 تڠڬڠ ترڤمڤن.
Dia srikandi hebat. 	 دي سريكندي هيبت.
Tanggang mendengus. 	 تڠڬڠ مندڠوس.
Nirnama menggeleng. 	 نيرنام مڠڬيليڠ.
Inilah kesaktianku. 	 اينله كسقتينكو.
Dia termangu-mangu. 	 دي ترماڠو-ماڠو.
aku melepaskan dia. 	 اكو ملڤسكن دي.
Nirnama mengangguk. 	 نيرنام مڠڠڬوق.
Benar, Cik Cendana. 	 بنر، چيق چندانا.
Wajah Jenin tegang. 	 واجه جنين تڬڠ.
Dunia adalah ujian. 	 دنيا اداله اوجين.
Nirnama mengangguk. 	 نيرنام مڠڠڬوق.
Nirnama mengangguk. 	 نيرنام مڠڠڬوق.
Dia semakin hampir. 	 دي سماكين همڤير.
Aku perlu beransur. 	 اكو ڤرلو برانسور.
Nadim menepuk dada. 	 نديم منڤوق دادا.
Dua orang terpilih. 	 دوا اورڠ ترڤيليه.
Maka beta tunaikan. 	 مک بيت تونايكن.
Terus dia bersujud. 	 تروس دي برسجود.
Dakapan dilepaskan. 	 داكڤن دلڤسكن.
Air mata disekanya. 	 اءير مات دسكاڽ.
Tubuhnya kepenatan. 	 توبوهڽ كڤنتن.
Memang aku kembali. 	 ميمڠ اكو كمبالي.
Hilang tanpa jejak. 	 هيلڠ تنڤا جيجق.
Jenin pula membisu. 	 جنين ڤولا ممبيسو.
Geraham diketapnya. 	 ڬراهم دكتڤڽ.
Cendana mengangguk. 	 چندانا مڠڠڬوق.
Giginya berterabur. 	 ڬيڬيڽ برترابور.
Adiwaja mengangguk. 	 اديواج مڠڠڬوق.
Geraham diketapnya. 	 ڬراهم دكتڤڽ.
Api, air dan petir. 	 اڤي، اءير دان ڤتير.
Bicaranya terhenti. 	 بيچاراڽ ترهنتي.
Bertenang, Adiwaja. 	 برتنڠ، اديواج.
Adiwaja menggeleng. 	 اديواج مڠڬيليڠ.
Adiwaja, sahabatku. 	 اديواج، صحابتكو.
Harinya telah tiba. 	 هاريڽ تله تيبا.
Akan aku sampaikan. 	 اكن اكو سمڤايكن.
Kasturi mengiringi. 	 كستوري مڠيريڠي.
Dia srikandi hebat. 	 دي سريكندي هيبت.
Aku redha, Adiwaja. 	 اكو رضا، اديواج.
Mahmud, Jagat Suci. 	 محمود، جاڬت سوچي.
Tegakkan kebenaran. 	 تڬقكن كبنرن.
Angin menderu-deru. 	 اڠين مندرو-درو.
Halaman terataknya. 	 هلامن تراتقڽ.
Nadim menelan liur. 	 نديم منلن ليور.
Nirnama mengangguk. 	 نيرنام مڠڠڬوق.
Ayuh kita bersedia. 	 ايوه كيت برسديا.
Jebat ketawa besar. 	 جبت كتاوا بسر.
Nirnama menggeleng. 	 نيرنام مڠڬيليڠ.
Ampun, tuan puteri. 	 امڤون، توان ڤوتري.
Ampun, tuan puteri. 	 امڤون، توان ڤوتري.
Cendana mengangguk. 	 چندانا مڠڠڬوق.
Dia telah bersedia. 	 دي تله برسديا.
Lidahnya jadi kelu. 	 ليدهڽ جادي كلو.
Adiwaja menggeleng. 	 اديواج مڠڬيليڠ.
Masanya telah tiba. 	 ماسڽ تله تيبا.
Demikian juga guru. 	 دمکين جوݢ ڬورو.
Alauddin terpempan. 	 علاءالدين ترڤمڤن.
Angin mula menderu. 	 اڠين مولا مندرو.
Nirnama mengangguk. 	 نيرنام مڠڠڬوق.
Adiwaja menggeleng. 	 اديواج مڠڬيليڠ.
Dengan kuasa Allah. 	 دڠن كواس الله.
Jadi, maka jadilah. 	 جادي، مک جاديله.
Angin mula menderu. 	 اڠين مولا مندرو.
Matanya terbuntang. 	 ماتڽ تربونتڠ.
Deriamu hanya alat. 	 دريامو هاڽ الت.
Adiwaja mengangguk. 	 اديواج مڠڠڬوق.
Dan melarikan diri. 	 دان ملاريكن ديري.
Nirnama menggeleng. 	 نيرنام مڠڬيليڠ.
Geraham diketapnya. 	 ڬراهم دكتڤڽ.
Dadanya turun naik. 	 داداڽ تورون ناءيق.
Itu bukan takhtamu. 	 ايت بوكن تختامو.
Adiwaja mengangguk. 	 اديواج مڠڠڬوق.
Cendana mengangguk. 	 چندانا مڠڠڬوق.
Bunuh mereka semua. 	 بونوه مريک سموا.
Dia terapung-apung. 	 دي تراڤوڠ-اڤوڠ.
Dia tidak bertahan. 	 دي تيدق برتاهن.
Cendana menggeleng. 	 چندانا مڠڬيليڠ.
Nirnama mengangguk. 	 نيرنام مڠڠڬوق.
Adiwaja mengangguk. 	 اديواج مڠڠڬوق.
Adiwaja menggeleng. 	 اديواج مڠڬيليڠ.
Dia memecut pantas. 	 دي ممچوت ڤانتس.
Jagat Suci terdiam. 	 جاڬت سوچي ترديام.
Adiwaja mengangguk. 	 اديواج مڠڠڬوق.
Sudah aku nyatakan. 	 سوده اكو ڽاتكن.
Dia terus bertahan. 	 دي تروس برتاهن.
Bantuan untuk kami. 	 بنتوان اونتوق كامي.
Hingga ke akhirnya. 	 هيڠݢ كأخيرڽ.
Nirnama menggeleng. 	 نيرنام مڠڬيليڠ.
Ah, boleh, Nirnama. 	 اه، بوليه، نيرنام.
Jenin memetik jari. 	 جنين ممتيق جاري.
Nirnama menggeleng. 	 نيرنام مڠڬيليڠ.
Nirnama mengangguk. 	 نيرنام مڠڠڬوق.
Dia pula menyerang. 	 دي ڤولا مڽرڠ.
Nirnama mengangguk. 	 نيرنام مڠڠڬوق.
Alauddin tersenyum. 	 علاءالدين ترسڽوم.
Cendana menggeleng. 	 چندانا مڠڬيليڠ.
Ah, tak ada apalah. 	 اه، تق اد اڤله.
Aku suka orang ini. 	 اكو سوک اورڠ اين.
Baiklah, Pak Kaduk. 	 باءيقله، ڤق كادوق.
Alauddin tersenyum. 	 علاءالدين ترسڽوم.
Aku sebagai Sultan. 	 اكو سباڬاي سلطان.
Matanya terbelalak. 	 ماتڽ تربلالق.
Nirnama mengangguk. 	 نيرنام مڠڠڬوق.
Cendana mengangguk. 	 چندانا مڠڠڬوق.
Alauddin terpempan. 	 علاءالدين ترڤمڤن.
Menghormati tetamu. 	 مڠحرمتي تتامو.
Cendana menggeleng. 	 چندانا مڠڬيليڠ.
Cendana mengangguk. 	 چندانا مڠڠڬوق.
Nirnama mengangguk. 	 نيرنام مڠڠڬوق.
Nirnama mengangguk. 	 نيرنام مڠڠڬوق.
Lihatlah keadaanmu. 	 ليهتله كأداءنمو.
Jagat Suci tertawa. 	 جاڬت سوچي ترتاوا.
Ayahandaku percaya. 	 ايهنداكو ڤرچاي.
Ayuh, kita beredar. 	 ايوه، كيت بريدر.
Kasturi mengangguk. 	 كستوري مڠڠڬوق.
Cendana mengangguk. 	 چندانا مڠڠڬوق.
Segera dia menoleh. 	 سڬرا دي منوليه.
Dia terus bergerak. 	 دي تروس برڬرق.
Jagat Suci tertawa. 	 جاڬت سوچي ترتاوا.
Jebat membuka mata. 	 جبت ممبوک مات.
Usaha apa termampu. 	 اوسها اڤ ترممڤو.
Parang diangkatnya. 	 ڤارڠ دأڠكتڽ.
Jagat Suci menoleh. 	 جاڬت سوچي منوليه.
Jagat Suci meraung. 	 جاڬت سوچي مراءوڠ.
Tidak lagi, tuanku. 	 تيدق لاڬي، توانكو.
Macam-macam ulahnya. 	 ماچم٢ اولهڽ.
Itu hinaan, jahanam. 	 ايت هيناءن، جهنم.
Tengkuknya meremang. 	 تڠكوقڽ مرمڠ.
Mata Nadim membulat. 	 مات نديم ممبولت.
Jangan banyak bunyi. 	 جاڠن باڽق بوڽي.
Mata Nadim membulat. 	 مات نديم ممبولت.
Dahi Nadim berkerut. 	 داهي نديم بركروت.
Mata Nadim membulat. 	 مات نديم ممبولت.
Senyumannya melebar. 	 سڽومنڽ مليبر.
Mata Nadim membesar. 	 مات نديم ممبسر.
Berkerut dahi Nadim. 	 بركروت داهي نديم.
Tuan Nirnama, Nadim. 	 توان نيرنام، نديم.
Ini lautan, medanku. 	 اين لاءوتن، ميدنكو.
Tidak ada perjudian. 	 تيدق اد ڤرجودين.
Awang membuka mulut. 	 اوڠ ممبوک مولوت.
Tubuhnya dijatuhkan. 	 توبوهڽ دجاتوهكن.
Nadim menarik bibir. 	 نديم مناريق بيبير.
Kalian begitu mesra. 	 كالين بڬيتو مسرا.
Nadim menekan suara. 	 نديم منكن سوارا.
Air mukanya berubah. 	 اءير موكاڽ براوبه.
Sedap sangat baunya. 	 سداڤ ساڠت باءوڽ.
Ada yang menggeleng. 	 اد يڠ مڠڬيليڠ.
Karut orang tua ini. 	 كاروت اورڠ توا اين.
Cendana terperanjat. 	 چندانا ترڤرنجت.
Tuhan Sekalian Alam. 	 توهن سكالين عالم.
Pasti, Tuan Nirnama. 	 ڤستي، توان نيرنام.
Terima kasih, budak. 	 تريما كاسيه، بودق.
kenapa engkau tidak. 	 كناڤ اڠكاو تيدق.
Dia adindaku, Jenin. 	 دي ادينداكو، جنين.
Nirnama membetulkan. 	 نيرنام ممبتولكن.
Jenin kembali duduk. 	 جنين كمبالي دودوق.
Alam masih bergelap. 	 عالم ماسيه برڬلڤ.
Cendana tersungging. 	 چندانا ترسوڠڬيڠ.
Tuhan sekalian alam. 	 توهن سكالين عالم.
Kampung Sungai Atas. 	 كامڤوڠ سوڠاي اتس.
Mata Jenin membulat. 	 مات جنين ممبولت.
Mata Nadim membulat. 	 مات نديم ممبولت.
Nafasnya turun naik. 	 نفسڽ تورون ناءيق.
Dia kelihatan pucat. 	 دي كليهتن ڤوچت.
Semua bermata bulat. 	 سموا برمات بولت.
Orang ramai terpana. 	 اورڠ راماي ترڤان.
Jagat Suci menunjuk. 	 جاڬت سوچي منونجوق.
Satu wajah terpapar. 	 ساتو واجه ترڤاڤر.
Nafasnya turun naik. 	 نفسڽ تورون ناءيق.
Lelaki tua itu diam. 	 للاكي توا ايت ديام.
Cuci pakaian engkau. 	 چوچي ڤاكاين اڠكاو.
Dia memejamkan mata. 	 دي ممجمكن مات.
Mengawal pernafasan. 	 مڠاول ڤرنفسن.
Engkau anak muridku. 	 اڠكاو انق موريدكو.
Dia tersenyum lebar. 	 دي ترسڽوم ليبر.
Bagaikan tercengang. 	 باڬايكن ترچڠڠ.
Tidak ada masa lagi. 	 تيدق اد ماس لاڬي.
Dia tersengih lebar. 	 دي ترسڠيه ليبر.
Jadi? Dia berteriak. 	 جادي؟ دي برترياق.
Hayatilah latihanmu. 	 حياتيله لاتيهنمو.
Kita hanya berusaha. 	 كيت هاڽ براوسها.
Engkau bukan kosong. 	 اڠكاو بوكن كوسوڠ.
Pantas dia menyebut. 	 ڤانتس دي مڽبوت.
Nadim terus tertawa. 	 نديم تروس ترتاوا.
Itulah ralatnya aku. 	 ايتله رالتڽ اكو.
Dia hanya tersengih. 	 دي هاڽ ترسڠيه.
Jika tuanku izinkan. 	 جک توانكو ايذينكن.
Nirnama menjelaskan. 	 نيرنام منجلسكن.
Mata Nadim membulat. 	 مات نديم ممبولت.
Bertenang, srikandi. 	 برتنڠ، سريكندي.
Syirik dan khurafat. 	 شيريک دان خرافت.
Pandangannya dingin. 	 ڤندڠنڽ ديڠين.
Riak wajahnya durja. 	 رياق واجهڽ دورجا.
Demi Allah, Nirnama. 	 دمي الله، نيرنام.
Senyumannya meleret. 	 سڽومنڽ مليريت.
Itu bukan kecemasan. 	 ايت بوكن كچمسن.
Tidak mengapa, Tuha. 	 تيدق مڠاڤ، توها.
Dia kembali ke bumi. 	 دي كمبالي كبومي.
Menyelamatkan ummah. 	 مڽلامتكن اومة.
Bukan kerana dendam. 	 بوكن كران دندم.
Dia tersenyum lebar. 	 دي ترسڽوم ليبر.
Dia tersenyum lebar. 	 دي ترسڽوم ليبر.
Terus dia berpaling. 	 تروس دي برڤاليڠ.
Senyumannya melebar. 	 سڽومنڽ مليبر.
Baiklah jika begitu. 	 باءيقله جک بڬيتو.
Alauddin menggeleng. 	 علاءالدين مڠڬيليڠ.
Dia kekal berbaring. 	 دي ككل برباريڠ.
Senjata itu dihunus. 	 سنجات ايت دهونوس.
Tengkuknya meremang. 	 تڠكوقڽ مرمڠ.
Jangan berputus asa. 	 جاڠن برڤوتوس اسا.
Teguhlah dengan itu. 	 تڬوهله دڠن ايت.
Mata Tuha terbeliak. 	 مات  توها تربلياق.
Alauddin menggeleng. 	 علاءالدين مڠڬيليڠ.
Alauddin mengangguk. 	 علاءالدين مڠڠڬوق.
Alauddin mengangguk. 	 علاءالدين مڠڠڬوق.
Tongkat dihentaknya. 	 توڠكت دهنتقڽ.
Alauddin mengangguk. 	 علاءالدين مڠڠڬوق.
Alauddin mengangguk. 	 علاءالدين مڠڠڬوق.
Benar, Kakanda Tuha. 	 بنر، ككندا توها.
Kemudian, bertaubat. 	 كمودين، برتوبة.
Alauddin mengangguk. 	 علاءالدين مڠڠڬوق.
Ini juga satu usaha. 	 اين جوݢ ساتو اوسها.
Kembali kepada asal. 	 كمبالي كڤد اصل.
Tetap tidak berjaya. 	 تتڤ تيدق برجاي.
Senyumannya melebar. 	 سڽومنڽ مليبر.
Hatta untuk dirinya. 	 حتى اونتوق ديريڽ.
Dia tersenyum lebar. 	 دي ترسڽوم ليبر.
Itu bukan kesaktian. 	 ايت بوكن كسقتين.
Hah! Nadim menambah. 	 هاه! نديم منمبه.
Jodoh yang baik ini. 	 جودوه يڠ باءيق اين.
Berkerut dahi Nadim. 	 بركروت داهي نديم.
Untuk?  Menikahinya. 	 اونتوق؟  منيكهيڽ.
Hah, begitu rupanya. 	 هاه، بڬيتو روڤاڽ.
Mata Nadim membulat. 	 مات نديم ممبولت.
Peluang lebih cerah. 	 ڤلواڠ لبيه چره.
